NFZ,Latitude,Longitude
100 Kirk Ave,37.378155,-121.824088
100 Oak St,43.00639,-78.191687
100 Skyway Dr Ste 130,34.8946407,-120.4390297
1001 Schhouse Rd,41.6076547,-88.2780338
102 Sonora Ave,37.5043897,-122.4773638
1051 W San Fernando St,37.3290633,-121.9109737
1055 South Monroe St,30.4334493,-84.2806376
1060 East Empire St,40.4883423,-88.9780037
1081 Foxworthy Ave,37.2786429,-121.8788007
1088 Brd.Way,40.7429384,-73.9891671
1100 Summerdale Dr,35.4562058,-94.2391988
1101 Strayer Dr,37.3067144,-122.0081786
1149 East Julian St Bldg. G,37.351173,-121.8728422
1150 Rajkovich Way,37.2077983,-121.8515333
1155 East Julian St,37.3509806,-121.8720554
1155 East Julian St,37.3509806,-121.8720554
1170 Foxworthy Ave,37.2771268,-121.8818859
1175 Hillsdale Ave,37.275219,-121.8810318
1188 Wunderlich Dr,37.3038999,-121.9987066
1198 Redmond Ave,37.2282893,-121.87295
1200 Blossom Hill Rd,37.248993,-121.879562
121 Avenida Grande,42.285997,13.654648
1212 McGinness Ave,37.3510749,-121.8227634
1224 Del Mar Ave,38.1261889,-122.232175
1240 Taper Ln,37.3215368,-121.8406829
1241 McGinness Ave,37.3498741,-121.8235248
1250 South King Rd,37.3379438,-121.8401708
1250 Taper Ln,37.3210991,-121.8395643
1260 Branham Ln,37.2602208,-121.8829014
1280 Johnson Ave,37.8404359,-89.5119704
1280 Koch Ln,37.2805668,-121.8878512
1290 Bal Harbor Dr,38.412437,-90.3549251
1290 Blossom Hill Rd,37.2471368,-121.8825887
1290 Blossom Hill Rd,37.2471368,-121.8825887
1290 Kimberly Dr,37.2695342,-121.883218
1290 Ridder Park Dr,37.383909,-121.9002343
1295 Dentwood Dr,37.2514516,-121.8848734
1300 Tallahassee Dr,26.7030208,-80.0979807
1311 Vinci Park Way,37.3801455,-121.8728985
1313 Audubon Dr,37.4688284,-79.2691522
1325 Bouret Dr,37.2567226,-121.8872382
1351 Lightland Rd,37.2958706,-121.8116211
1376 Piedmont Rd,34.0201209,-84.5132396
1377 Piedmont Rd,34.0184285,-84.5111461
13901 Nordyke Dr,37.3591397,-121.8235376
1401 Turlock Ln,37.4001294,-121.856584
141 Avenida Espana,41.0690689,-4.8091398
1425 Lincoln Ave,42.706672,-94.2270071
1425 Old Piedmont Rd,37.4066137,-121.8478699
14271 Story Rd,37.3592124,-121.8161018
14275 Candler Dr,32.8751397,-97.3231729
1450 Leigh Ave,37.2968082,-121.9221216
1460 Colt Way,37.3007282,-121.8101781
